 SGx1               SGx2              SGy1                SGy2              chrom_x            chrom_y            CONS(MU)           quad_Kx                 quad_Ky                 quad_Kz                  alpha_0              alpha_1            eta_1
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -9.170757103137932 -8.816105085121523 0.1403053613395166E-006 -.4839188881320606E-002 -.2359878761543381E-001 -3.847696284610469 0.9643320277913103E-001 0.3710930098627234  1.066057082079384
 0.000000000000000 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -5.988078758934698 -11.04815451499180 0.1403053613395166E-006 -.2019361150767631E-001 0.6522376504175727E-002 -4.519803044819175 0.9643320277913103E-001 0.5949992534624651E-001 0.7544639975629072
 0.000000000000000 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -2.805400414731451 -13.28020394486211 0.1403053613395166E-006 -.3554803413392752E-001 0.3664354062157820E-001 -5.191909821776011 0.9643320277913103E-001 -.2520931591702318 0.4428709130464288
 0.000000000000000 0.3000000000000000E-002  0.000000000000000  0.000000000000000 0.3772779294717933 -15.51225337473240 0.1403053613395166E-006 -.5090245675937130E-001 0.6676470474242639E-001 -5.864016943552823 0.9643320277913103E-001 -.5636862436867113 0.1312778285299494
 0.000000000000000 0.4000000000000000E-002  0.000000000000000  0.000000000000000  3.559956273675035 -17.74430280460270 0.1403053613395166E-006 -.6625687938454494E-001 0.9688586885955806E-001 -6.536123699596277 0.9643320277913103E-001 -.8752793282031902 -.1803152559865296
0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -3.101013563432716 -11.31252710849961 0.1403053613395166E-006 -.5136272531890210E-001 0.2991069334934163E-001 -4.417570823758503 0.9643320277913103E-001 0.2044454404070368 0.8994095126236975
0.1000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000 0.8166478077052691E-001 -13.54457653836990 0.1403053613395166E-006 -.6671714794543376E-001 0.6003185746741080E-001 -5.089677564669224 0.9643320277913103E-001 -.1071476441094403 0.5878164281072203
0.1000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  3.264343124973770 -15.77662596824019 0.1403053613395166E-006 -.8207157057112982E-001 0.9015302158629200E-001 -5.761784293990962 0.9643320277913103E-001 -.4187407286259195 0.2762233435907411
0.1000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  6.447021469177015 -18.00867539811049 0.1403053613395166E-006 -.9742599319691408E-001 0.1202741857055070 -6.433891097241975 0.9643320277913103E-001 -.7303338131423982 -.3536974092573753E-001
0.1000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  9.629699813380254 -20.24072482798078 0.1403053613395166E-006 -.1127804158224898 0.1503953498229606 -7.105997212039936 0.9643320277913103E-001 -1.041926897658877 -.3469628254422165
0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  2.968729976272505 -13.80894913187769 0.1403053613395166E-006 -.9788626175823442E-001 0.8342017431125312E-001 -4.987445920110369 0.9643320277913103E-001 0.3779787095135143E-001 0.7327619431680121
0.2000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  6.151408320475751 -16.04099856174799 0.1403053613395166E-006 -.1132406843817768 0.1135413384315386 -5.659552098487181 0.9643320277913103E-001 -.2737952135651273 0.4211688586515334
0.2000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  9.334086664678994 -18.27304799161827 0.1403053613395166E-006 -.1285951070085773 0.1436625025499578 -6.331658841934276 0.9643320277913103E-001 -.5853882980816065 0.1095757741350541
0.2000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  12.51676500888223 -20.50509742148859 0.1403053613395166E-006 -.1439495296353763 0.1737836666702345 -7.003765563201982 0.9643320277913103E-001 -.8969813825980854 -.2020173103814247
0.2000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  15.69944335308547 -22.73714685135887 0.1403053613395166E-006 -.1593039522596875 0.2039048307852077 -7.675871734957667 0.9643320277913103E-001 -1.208574467114564 -.5136103948979029
0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  9.038473515977735 -16.30537115525578 0.1403053613395166E-006 -.1444097981941767 0.1369296552763355 -5.557319443719219 0.9643320277913103E-001 -.1288496985043356 0.5661143737123251
0.3000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  12.22115186018098 -18.53742058512608 0.1403053613395166E-006 -.1597642208219748 0.1670508193950480 -6.229425551832183 0.9643320277913103E-001 -.4404427830208147 0.2545212891958459
0.3000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  15.40383020438422 -20.76947001499636 0.1403053613395166E-006 -.1751186434436401 0.1971719835072305 -6.901533370329695 0.9643320277913103E-001 -.7520358675372938 -.5707179532063311E-001
0.3000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  18.58650854858745 -23.00151944486667 0.1403053613395166E-006 -.1904730660707618 0.2272931476356792 -7.573640111147341 0.9643320277913103E-001 -1.063628952053773 -.3686648798371123
0.3000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  21.76918689279069 -25.23356887473695 0.1403053613395166E-006 -.2058274886955375 0.2574143117517169 -8.245746219686016 0.9643320277913103E-001 -1.375222036570251 -.6802579643535906
0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  15.10821705568294 -18.80179317863386 0.1403053613395166E-006 -.1909333346297929 0.1904391362389242 -6.127193977499594 0.9643320277913103E-001 -.2954972679600227 0.3994668042566379
0.4000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  18.29089539988619 -21.03384260850416 0.1403053613395166E-006 -.2062877572556609 0.2205603003524176 -6.799300092851606 0.9643320277913103E-001 -.6070903524765022 0.8787371974015845E-001
0.4000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  21.47357374408945 -23.26589203837444 0.1403053613395166E-006 -.2216421798846351 0.2506814644830809 -7.471406820891903 0.9643320277913103E-001 -.9186834369929807 -.2237193647763201
0.4000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  24.65625208829270 -25.49794146824475 0.1403053613395166E-006 -.2369966025122961 0.2808026285964559 -8.143513579845367 0.9643320277913103E-001 -1.230276521509460 -.5353124492927990
0.4000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  27.83893043249590 -27.72999089811503 0.1403053613395166E-006 -.2523510251343347 0.3109237927150179 -8.815620342792085 0.9643320277913103E-001 -1.541869606025939 -.8469055338092779
 0.000000000000000  0.000000000000000 -.1000000000000000E-002  0.000000000000000 -10.79662224632801 -2.845946613926220 0.1403053613395166E-006 0.9318437011929302E-002 -.1687141177899677 -3.398165319857862 0.9643320277913103E-001 0.4871757612905103  1.182139833507171
 0.000000000000000 0.1000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -7.613943902124769 -5.077996043796515 0.1403053613395166E-006 -.6035985613486706E-002 -.1385929536719646 -4.070272155395764 0.9643320277913103E-001 0.1755826767740326 0.8705467489906933
 0.000000000000000 0.2000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -4.431265557921526 -7.310045473666812 0.1403053613395166E-006 -.2139040823857931E-001 -.1084717895536704 -4.742379878571654 0.9643320277913103E-001 -.1360104077424450 0.5589536644742157
